2,75
3,195
4,542
5,907
6,1097
7,1183
8,1262
9,1311
10,1335
11,1380
12,1397
13,1390
14,1383
15,1385
16,1385
17,1394
18,1397
19,1399
20,1408
21,1410
22,1414
23,1418
24,1418
25,1421
26,1420
27,1421
28,1421
29,1427
30,1424
31,1427
32,1641
33,1632
34,1628
35,1634
36,1633
37,1640
38,1652
39,1661
40,1655
41,1650
42,1650
43,1649
44,1654
45,1647
46,1640
47,1640
48,1641
49,1636
50,1631
51,1628
52,1638
53,1638
54,1638
55,1632
56,1630
57,1634
58,1638
59,1639
60,1632
61,1605
62,1772
63,1776
64,1783
65,1774
66,1769
67,1738
68,1686
69,1652
70,1648
71,1643
72,1634
73,1646
74,1662
75,1676
76,1684
77,1710
78,1749
79,1759
80,1772
81,1767
82,1774
83,1775
84,1774
85,1776
86,1768
87,1754
88,1724
89,1694
90,1690
91,1691
92,1673
93,1757
94,1779
95,1798
96,1808
97,1812
98,1816
99,1813
100,1822
101,1833
102,1839
103,1830
104,1828
105,1827
106,1824
107,1825
108,1825
109,1823
110,1820
111,1817
112,1820
113,1824
114,1826
115,1821
116,1818
117,1810
118,1806
119,1797
120,1792
121,1788
122,1766
